language	upstream	commit	upstream_path	local_file	license	sha256
python	https://github.com/exercism/python	250bf19050543da09e122211fc7430fe6f44c564	exercises/practice/luhn/.meta/example.py	python.py	MIT Exercism 2021	8c9b705167891902cc94605dd71668082cc7b8cd2b67cc1054e40755d38b5d23
javascript	https://github.com/exercism/javascript	295540983b6323edcfd457b3163ad6c63608f2da	exercises/practice/luhn/.meta/proof.ci.js	javascript.js	MIT Exercism 2021	251b6683e4176af09da73ba2303614edaacab6c7a7b8ac183275c2315b62a722
typescript	https://github.com/exercism/typescript	0822e65205ec08a4fa53360f4e52a914d2caf1fa	exercises/practice/luhn/.meta/proof.ci.ts	typescript.ts	MIT Exercism 2021	4b9c4e69ad2451941d7f19fab9eb5192a8d96bec5405ec7a3a7b273ad7fdf278
java	https://github.com/exercism/java	d8e92d5ba47a37afb6f10f1d9e1117b72c1656d5	exercises/practice/luhn/.meta/src/reference/java/LuhnValidator.java	java.java	MIT Exercism 2021	24882b83e5d54c3e2a18fafc2e308d2e1016c026a8d16dee7892788a7a14c5d0
c	https://github.com/exercism/c	2fb6107548efb29d21c792fda9b21762f5b223f2	exercises/practice/luhn/.meta/example.c	c.c	MIT Exercism 2021	c99211be3bbc984591ce8fbfa49c15ccd9281ca3211e9cb3f9423eae286a5a73
cpp	https://github.com/exercism/cpp	d2babb2bd750c884abf86ce52dde274ae7de9749	exercises/practice/luhn/.meta/example.cpp	cpp.cpp	MIT Exercism 2021	286101138a8c016743de09a4ec89f25fc3252ef74104b83b947404ea3894c08b
csharp	https://github.com/exercism/csharp	196a175a409c3df052f877f59dec1ab86844aeb0	exercises/practice/luhn/.meta/Example.cs	csharp.cs	MIT Exercism 2021	80c5d5fb7c1ded012dd43f1a4a8e9529d572f3564390e74397bfb5c919487cd8
go	https://github.com/exercism/go	f6c0bf28b8081383034acab94c5a240c66914204	exercises/practice/luhn/.meta/example.go	go.go	MIT Exercism 2021	74fccfdcad4d856d4871b7bd5b42c911570a19b184666e792b4e2ccda676f474
rust	https://github.com/exercism/rust	faba7937639a6888f5447e834fa3bc7846a5a9a8	exercises/practice/luhn/.meta/example.rs	rust.rs	MIT Exercism 2021	c22bfa8a1d4d1242426b7822f19c2dec1d694b55b5eef04ddbd25dc4ce84ae9c
ruby	https://github.com/exercism/ruby	49a3ad0fc4003c97710eda0b7ec439a33c213bd4	exercises/practice/luhn/.meta/example.rb	ruby.rb	MIT Exercism 2021	7c8f83daf573a0ff0ba11cfefe43a1c44b96b8babfe5441d467341f803ea7d1e
php	https://github.com/exercism/php	f22e06657170b277fe699d4da7107526a1ac649e	exercises/practice/luhn/.meta/example.php	php.php	MIT Exercism 2021	0359fe178a333d0557947261bfe6efdcea3e3b601c1366991ebe9e091272c9b9
swift	https://github.com/exercism/swift	55bc7f22d63472b90779b66cd5270cf71d49fa43	exercises/practice/luhn/.meta/Sources/Luhn/LuhnExample.swift	swift.swift	MIT Exercism 2021	9fd818595baf7440de41492bdd40dfb7dc7f859fd11c8800af679d4417462c6e
kotlin	https://github.com/exercism/kotlin	c0b340342de099762e1d637df049132f7a0c64df	exercises/practice/luhn/.meta/src/reference/kotlin/Luhn.kt	kotlin.kt	MIT Exercism 2021	b3a957c88f3a7ecc0e5e44b377cef6ec8643bf8f15d19a57bb53f8ff67d223e6
